Data;Semana;Baia;Animal;Periodo;Horario;Bloco;Tratamento;Enriquecimento;Sexo;Etograma
29/04/2019;1;15;450;tarde;13:00;leve;T5;Corda;Femea;Inter. objeto
29/04/2019;1;16;431;tarde;13:00;leve;T1;Corrente;Macho;Inter. animal 
29/04/2019;1;17;56;tarde;13:00;leve;T4;Corrente;Femea;Inter. objeto
29/04/2019;1;18;144;tarde;13:00;leve;T5;Corda;Femea;Inter. objeto
29/04/2019;1;19;62;tarde;13:00;leve;T4;Corrente;Femea;Inter. animal 
29/04/2019;1;20;423;tarde;13:00;leve;T2;Corda;Macho;Inter. objeto
29/04/2019;1;21;265;tarde;13:00;leve;T3;Nenhum;Macho;Calmo
29/04/2019;1;22;477;tarde;13:00;leve;T1;Corrente;Macho;Inter. objeto
29/04/2019;1;23;289;tarde;13:00;leve;T3;Nenhum;Macho;Alimentando
29/04/2019;1;24;111;tarde;13:00;leve;T6;Nenhum;Femea;Calmo
29/04/2019;1;25;153;tarde;13:00;leve;T6;Nenhum;Femea;Calmo
29/04/2019;1;26;370;tarde;13:00;leve;T2;Corda;Macho;Calmo
29/04/2019;1;27;392;tarde;13:00;medio;T2;Corda;Macho;Calmo
29/04/2019;1;28;414;tarde;13:00;medio;T4;Corrente;Femea;Calmo
29/04/2019;1;29;125;tarde;13:00;medio;T5;Corda;Femea;Inter. objeto
29/04/2019;1;30;257;tarde;13:00;medio;T3;Nenhum;Macho;Calmo
29/04/2019;1;31;334;tarde;13:00;medio;T1;Corrente;Macho;Inter. meio amb. 
29/04/2019;1;32;250;tarde;13:00;medio;T3;Nenhum;Macho;Calmo
29/04/2019;1;33;282;tarde;13:00;medio;T1;Corrente;Macho;Inter. objeto
29/04/2019;1;34;465;tarde;13:00;medio;T2;Corda;Macho;Calmo
29/04/2019;1;35;31;tarde;13:00;medio;T4;Corrente;Femea;Inter. meio amb. 
29/04/2019;1;36;175;tarde;13:00;medio;T5;Corda;Femea;Inter. objeto
29/04/2019;1;37;94;tarde;13:00;medio;T6;Nenhum;Femea;Calmo
29/04/2019;1;38;92;tarde;13:00;medio;T6;Nenhum;Femea;Calmo
29/04/2019;1;43;8;tarde;13:00;pesado;T4;Corrente;Femea;Inter. meio amb. 
