"","Parameter","average","lower","mode","higher","Category","Covariate","Time"
"beta[3,1,5]","beta",-0.0194450644755642,-0.19951516406796,-0.0184419979176954,0.164124742499228,"3","1","5"
"beta[4,1,5]","beta",-0.0768018033343114,-0.259853020448326,-0.0720979304513233,0.127013845117395,"4","1","5"
"beta[5,1,5]","beta",-0.0811744760544532,-0.264493412380218,-0.0767593736254252,0.110845280036197,"5","1","5"
"beta[6,1,5]","beta",-0.0795165743204827,-0.290753490399911,-0.0749181892064878,0.106325687199567,"6","1","5"
"beta[7,1,5]","beta",-0.0891318543934373,-0.282225778815868,-0.0862067218555534,0.0977709723780102,"7","1","5"
"beta[1,2,5]","beta",0.162483618583648,-0.0178190516938078,0.163630537617923,0.335547845267087,"1","2","5"
"beta[2,2,5]","beta",0.206077112371041,0.0263700079197997,0.207787535558423,0.386259585120569,"2","2","5"
"beta[3,2,5]","beta",-0.0719689546899014,-0.258887019720265,-0.0742233156452712,0.127069922574176,"3","2","5"
"beta[4,2,5]","beta",-0.0621549547877392,-0.250356750854542,-0.0625921934493152,0.126751391261436,"4","2","5"
"beta[5,2,5]","beta",-0.0863221576615601,-0.286677490836618,-0.0824970604698082,0.0951525249884713,"5","2","5"
"beta[6,2,5]","beta",-0.082353709518386,-0.271950185100306,-0.0820333970793583,0.105772228036315,"6","2","5"
"beta[7,2,5]","beta",-0.0799424386284593,-0.268789305487168,-0.0849935520799873,0.105176538582862,"7","2","5"
"beta[1,3,5]","beta",0.135998142637676,-0.0439235825826064,0.137227498607257,0.307792597353194,"1","3","5"
